Genus_Species_Steenwyk2018	Genus_Species_Shen2018	Genus_Species_Shen2016	Strain_Peter2018
	Brettanomyces_custersianus		AKH
	Candida_succiphila		AKE
	Ogataea_naganishii		AKC
	Ogataea_ramenticola		AKD
	Ogataea_methylivora		AKB
	Candida_boidinii		ADF
	Kuraishia_capsulata		SACE_YAC
	Kuraishia_molischiana		AKG
	Kuraishia_ogatae		ADV
	Citeromyces_siamensis		AHS
	Citeromyces_hawaiiensis		CQB
	Citeromyces_matritensis		CQA
	Komagataella_populi		CPT
	Komagataella_pseudopastoris		CPS
	Komagataella_pastoris		SACE_GAL
	Peterozyma_xylosa		CFA
	Peterozyma_toletana		BAF
	Nakazawaea_peltata		BAE
	Nakazawaea_holstii		BAC
	Pachysolen_tannophilus		BAD
	Babjeviella_inositovora		BAA
	Cephaloascus_albidus		AVV
	Cephaloascus_fragrans		BAB
	Candida_schatavii		CEQ
	Candida_fragi		ACL
	Kurtzmaniella_cleridarum		SACE_YCS
	Candida_carpophila		ACI
	Meyerozyma_caribbica		BDM
	Meyerozyma_guilliermondii		CRE
	Candida_athensensis		CMG
	Candida_ascalaphidarum		CHP
	Candida_gorgasii		CHN
	Candida_tammaniensis		BBT
	Yamadazyma_nakazawae		CID
	Yamadazyma_philogaea		CIF
	Candida_tenuis		CEM
	Yamadazyma_scolyti		CDK
	Candida_homilentoma		CIC
	Hyphopichia_burtonii		SACE_YBU
	Hyphopichia_heimii		AFG
	Candida_rhagii		AEI
	Candida_gotoi		SACE_YAL
	Danielozyma_ontarioensis		ABF
	Metschnikowia_similis		CIH
	Metschnikowia_dekortum		AGT
	Metschnikowia_bowlesiae		BPA
	Metschnikowia_arizonensis		BIE
	Metschnikowia_hamakuensis		ATB
	Metschnikowia_mauinuiana		BTB
	Metschnikowia_hawaiiensis		ARB
	Metschnikowia_kamakouana		ARA
	Metschnikowia_matae		AEE
	Metschnikowia_matae_maris		AEL
	Metschnikowia_lockheadii		ALR
	Metschnikowia_santaceciliae		CHQ
	Metschnikowia_cerradonensis		BDG
	Metschnikowia_continentalis		BDF
	Metschnikowia_ipomoeae		BDC
	Metschnikowia_borealis		BTA
	Metschnikowia_proteae		CIK
	Metschnikowia_drakensbergensis		CII
	Metschnikowia_shivogae		AHA
	Metschnikowia_aberdeeniae		AAG
	Metschnikowia_hibisci		CIL
	Metschnikowia_kipukae		CIG
	Candida_hawaiiana		CKN
	Metschnikowia_bicuspidata		BMF
	Candida_golubevii		CPC
	Candida_wancherniae		CDE
	Candida_intermedia		CDD
	Candida_blattae		CDC
	Clavispora_lusitaniae		BBL
	Candida_fructus		ANA
	Candida_oregonensis		ATD
	Candida_heveicola		ATC
	Candida_auris		ABD
	Candida_gatunensis		CHT
	Candida_cretensis		CHS
	Candida_kruisii		SACE_YDH
	Wickerhamia_fluorescens		AGP
	Candida_pyralidae		CKA
	Candida_tanzawaensis		SACE_MAB
	Candida_canberraensis		ADK
	Candida_emberorum		SACE_YBT
	Kodamaea_ohmeri		SACE_YBL
	Candida_restingae		SACE_YBK
	Kodamaea_laetipori		SACE_YBJ
	Aciculoconidium_aculeatum		SACE_YAW
	Candida_parapsilosis		CEN
	Candida_orthopsilosis		SACE_YAK
	Lodderomyces_elongisporus		ABG
	Candida_corydali		AAT
	Candida_dubliniensis		AAS
	Candida_albicans		SACE_YAV
	Candida_tropicalis		ABA
	Candida_sojae		SACE_YAU
	Spathaspora_hagerdaliae		ABK
	Spathaspora_gorwiae		SACE_YAR
	Spathaspora_arborariae		SACE_YAQ
	Spathaspora_girioi		SACE_YAP
	Spathaspora_passalidarum		BRV
	Scheffersomyces_stipitis		AAV
	Scheffersomyces_lignosus		BMD
	Priceomyces_medius		BSK
	Priceomyces_haplophilus		SACE_YAT
	Priceomyces_castillae		ABI
	Priceomyces_carsonii		SACE_YDG
	Millerozyma_acaciae		CGB
	Debaryomyces_maramus		BTI
	Debaryomyces_nepalensis		SACE_YBZ
	Debaryomyces_subglobosus		SACE_YAN
	Debaryomyces_fabryi		ABH
